state,class,gender,age,paid,logpaid
STATE 17,C11,M,86,557.18,6.322888348
STATE 15,F6 ,M,86,519.75,6.253347927
STATE 02,F6 ,F,86,499.59,6.213787762
STATE 02,C1 ,M,86,499.28,6.213167061
STATE 15,F11,M,86,484.03,6.182146888
STATE 15,F6 ,F,86,435,6.075346031
STATE 02,F11,M,86,402.32,5.997247792
STATE 17,F6 ,F,86,376,5.929589143
STATE 15,C6 ,F,86,365.26,5.900609429
STATE 15,C6 ,F,86,357,5.877735782
STATE 03,C6 ,M,86,351.38,5.861868259
STATE 14,C6 ,M,86,333.37,5.809252984
STATE 04,F6 ,M,86,329.16,5.796543955
STATE 17,C6 ,F,86,322.34,5.775606889
STATE 03,C11,F,86,318.07,5.762271484
STATE 15,C6 ,F,86,239.4,5.478135793
STATE 14,C11,M,86,196.1,5.278624733
STATE 01,C6 ,M,86,122.41,4.807376066
STATE 15,C6 ,F,86,71.19,4.265352359
STATE 15,C6 ,F,85,12234.82,9.412041264
STATE 17,C11,M,85,10829.25,9.290006086
STATE 14,C6 ,F,85,10630.81,9.271511668
STATE 01,C11,M,85,10524.64,9.261474454
STATE 15,F6 ,M,85,7238.13,8.887118165
STATE 15,C11,M,85,7186.92,8.880017986
STATE 17,C6 ,M,85,6854.02,8.83259062
STATE 15,C11,M,85,6710.3,8.811398938
STATE 06,C11,F,85,6130.31,8.721000599
STATE 12,C6 ,F,85,4338.29,8.37523554
STATE 02,C6 ,F,85,4277.12,8.361035165
STATE 15,C6 ,F,85,3783.74,8.238468217
STATE 06,C6 ,F,85,3735.9,8.225744032
STATE 15,F6 ,M,85,3610.27,8.191537841
STATE 15,F6 ,M,85,3549.95,8.174688798
STATE 15,C11,M,85,3425.62,8.139037756
STATE 02,F6 ,F,85,3376.9,8.124713408
STATE 12,C6 ,M,85,3206.76,8.073016361
STATE 15,C6 ,F,85,2788.24,7.933165851
STATE 15,C6 ,M,85,2764.49,7.924611448
STATE 02,C6 ,M,85,2724.04,7.909871351
STATE 15,C6 ,M,85,2334.58,7.755587282
STATE 15,F6 ,M,85,2300,7.740664402
STATE 15,C11,F,85,2269,7.727094485
STATE 04,C6 ,F,85,2249.45,7.718441021
STATE 04,C11,M,85,2169.88,7.682427145
STATE 02,C11,M,85,2015.32,7.608533271
STATE 15,C6 ,M,85,1929.81,7.565176831
STATE 17,F6 ,F,85,1924.69,7.562520195
STATE 15,C6 ,M,85,1638.49,7.401530365
STATE 15,C11,M,85,1209.52,7.097978866
STATE 02,C11,F,85,1200,7.090076836
STATE 14,C11,M,85,1134.63,7.034061886
STATE 15,C11,F,85,1061.8,6.96772086
STATE 04,C11,M,85,1056.18,6.962413904
STATE 04,C6 ,M,85,1006.41,6.914144822
STATE 15,F6 ,M,85,989.28,6.896977406
STATE 15,F6 ,M,85,970.31,6.877615608
STATE 17,C11,F,85,945.8,6.85203113
STATE 02,C11,M,85,899.13,6.801427629
STATE 04,C11,F,85,892.6,6.794138552
STATE 15,C6 ,F,85,865.12,6.762868226
STATE 06,C11,M,85,782.2,6.662110462
STATE 04,F6 ,M,85,774.68,6.652450041
STATE 03,C11,F,85,742.91,6.610574907
STATE 06,C1 ,M,85,683.57,6.527329065
STATE 04,C1 ,F,85,666.33,6.501785043
STATE 02,C6 ,F,85,649.74,6.476572283
STATE 02,C6 ,M,85,628.19,6.442842668
STATE 17,C11,F,85,503.78,6.222139665
STATE 02,C6 ,M,85,498.74,6.212084918
STATE 04,C11,M,85,444.39,6.096702555
STATE 03,C11,F,85,405.39,6.004849567
STATE 15,C1 ,F,85,382.33,5.94628411
STATE 07,C6 ,M,85,304.22,5.717751124
STATE 01,F6 ,M,85,274.8,5.61604356
STATE 03,C11,F,85,248.49,5.515402603
STATE 15,C6 ,F,85,195.3,5.274536838
STATE 02,C6 ,M,85,193.23,5.263881189
STATE 15,F6 ,F,85,187.72,5.234951491
STATE 15,C6 ,F,85,179.55,5.190453721
STATE 15,C6 ,F,85,135.67,4.910225466
STATE 02,C6 ,M,85,101.16,4.616703422
STATE 15,C6 ,F,85,86.43,4.459334838
STATE 03,C1 ,M,84,14639.15,9.591454726
STATE 12,C1 ,F,84,11010.46,9.306601009
STATE 07,C1B,M,84,10174.4,9.227630041
STATE 06,F6 ,M,84,9475.74,9.156490127
STATE 07,C11,F,84,9437.95,9.152494075
STATE 15,C11,M,84,8124.98,9.002698546
STATE 04,C11,F,84,7833.52,8.966167241
STATE 06,C11,M,84,7610,8.937218451
STATE 17,C11,M,84,7326.67,8.899276394
STATE 17,F6 ,M,84,6986.85,8.85178509
STATE 15,C6 ,M,84,6746.98,8.816850276
STATE 02,C6 ,M,84,5301.72,8.575786575
STATE 15,C6 ,M,84,4831.97,8.483009531
STATE 10,C6 ,F,84,4476.68,8.406636979
STATE 15,C11,M,84,4076.88,8.313087269
STATE 06,C6 ,M,84,3740.21,8.226897039
STATE 02,C11,M,84,3596.5,8.187716429
STATE 15,C6 ,M,84,3043,8.02059915
STATE 04,C11,M,84,2606.03,7.86558327
STATE 02,C1 ,M,84,2589.5,7.859220086
STATE 17,C6 ,F,84,2528.13,7.835235178
STATE 03,F6 ,M,84,2501.97,7.824833701
STATE 15,C11,M,84,2322.72,7.750494192
STATE 15,C1 ,M,84,2133.62,7.665575347
STATE 04,C11,M,84,1944.45,7.57273444
STATE 06,C11,M,84,1879.54,7.538782345
STATE 12,C1 ,F,84,1522.65,7.328207517
STATE 14,C6 ,F,84,1491.69,7.307664984
STATE 10,C6 ,F,84,1485.52,7.303520158
STATE 12,C6 ,F,84,1472.05,7.294411266
STATE 01,F6 ,M,84,1314.4,7.181135567
STATE 15,F6 ,F,84,1223.3,7.109307404
STATE 15,C6 ,M,84,1106.86,7.009282457
STATE 04,C11,M,84,1032.14,6.939389596
STATE 04,C11,F,84,1015.62,6.923254542
STATE 15,C11,F,84,953.72,6.860370127
STATE 02,C11,F,84,937.96,6.843707304
STATE 07,C11,M,84,906.62,6.809723399
STATE 17,C6 ,M,84,836.78,6.729561192
STATE 02,C6 ,M,84,820.64,6.710084524
STATE 01,C6 ,M,84,774.87,6.652695273
STATE 10,C6 ,F,84,696.57,6.546168291
STATE 10,C6 ,F,84,687.56,6.533149098
STATE 02,C11,F,84,685.88,6.530702685
STATE 15,C6 ,M,84,581.7,6.365954851
STATE 15,C6 ,M,84,570.89,6.347196547
STATE 15,C1 ,F,84,548.94,6.307989146
STATE 04,F6 ,M,84,522.75,6.259103338
STATE 04,C11,M,84,517.97,6.249917326
STATE 03,C11,M,84,504.46,6.22348855
STATE 14,C1 ,M,84,491.4,6.19725846
STATE 15,C11,M,84,479,6.171700597
STATE 15,C6 ,F,84,462.17,6.135932789
STATE 01,C6 ,M,84,451.53,6.112641816
STATE 07,C1B,M,84,426.19,6.054885256
STATE 02,F6 ,M,84,403.61,6.000449065
STATE 15,C6 ,F,84,398.95,5.988836096
STATE 15,C6 ,F,84,393,5.973809612
STATE 02,C11,M,84,368.32,5.908952126
STATE 02,C6 ,F,84,363.75,5.896466818
STATE 15,C6 ,M,84,359.44,5.884547265
STATE 02,C11,M,84,356.07,5.875127341
STATE 12,C6 ,M,84,343.25,5.838459045
STATE 15,C11,M,84,340.03,5.829033849
STATE 15,C11,M,84,339.51,5.827503402
STATE 04,C11,M,84,305.69,5.722571517
STATE 04,C11,F,84,288.3,5.664001605
STATE 14,C6 ,F,84,266.8,5.586499314
STATE 13,C6 ,M,84,224.6,5.414321042
STATE 02,C6 ,F,84,186.97,5.230948176
STATE 06,C6 ,M,84,143.7,4.967727793
STATE 10,F6 ,F,84,125,4.828313737
STATE 04,C6 ,M,83,12124.64,9.402995025
STATE 15,C1 ,M,83,11051.5,9.310321444
STATE 04,C11,F,83,11043.09,9.309560172
STATE 12,C6 ,M,83,8324.07,9.026906597
STATE 02,C11,M,83,7885.15,8.972736523
STATE 15,F11,F,83,7834.57,8.966301271
STATE 17,C11,M,83,7415.03,8.9112643
STATE 15,C11,M,83,6180.88,8.729215935
STATE 15,C11,F,83,4369.38,8.382376402
STATE 15,C1 ,F,83,3992.63,8.292205441
STATE 15,C11,F,83,3651.67,8.202939876
STATE 15,C6 ,F,83,3634.26,8.198160793
STATE 03,C11,F,83,3599.2,8.188466878
STATE 15,C6 ,M,83,3505.61,8.162119821
STATE 03,C11,M,83,3112.89,8.043306834
STATE 15,C6 ,M,83,3092.83,8.036841808
STATE 12,C1B,F,83,2683.16,7.894750483
STATE 15,C11,F,83,2606,7.865571758
STATE 15,C6 ,M,83,2520,7.832014181
STATE 02,C11,M,83,2500,7.824046011
STATE 15,C6 ,M,83,2460.3,7.808038573
STATE 04,C11,M,83,2253.16,7.720088954
STATE 15,C6 ,F,83,2229.05,7.709330765
STATE 15,C11,F,83,2130.6,7.664158909
STATE 04,F6 ,M,83,2049,7.625107148
STATE 15,C6 ,M,83,1994.56,7.598178754
STATE 15,C11,M,83,1921.22,7.56071568
STATE 15,C6 ,M,83,1701.82,7.439453546
STATE 15,C1 ,M,83,1472.87,7.294968157
STATE 15,C11,M,83,1468.48,7.291983131
STATE 15,C11,M,83,1444.89,7.275788473
STATE 07,C6 ,M,83,1392.52,7.238870334
STATE 17,C11,F,83,1368.76,7.221660499
STATE 17,C6 ,M,83,1346.36,7.205159934
STATE 17,C11,F,83,1335.27,7.196888798
STATE 15,C1 ,F,83,1304.64,7.17368242
STATE 04,F11,M,83,1275,7.150701458
STATE 17,C11,F,83,1264.87,7.142724629
STATE 15,C6 ,F,83,1231.08,7.115647112
STATE 13,C11,M,83,1073.61,6.978782081
STATE 06,C6 ,M,83,1028.87,6.936216392
STATE 15,C6 ,F,83,997.05,6.904800919
STATE 15,C1 ,M,83,944.7,6.850867417
STATE 15,C6 ,F,83,910.68,6.814191573
STATE 03,C11,M,83,904.68,6.80758129
STATE 15,C6 ,F,83,872.18,6.770995825
STATE 15,C6 ,M,83,868.69,6.76698633
STATE 17,C11,M,83,801.39,6.68634772
STATE 15,C11,M,83,772.23,6.649282433
STATE 12,C6 ,M,83,764.1,6.638698671
STATE 15,C6 ,M,83,730.53,6.593770298
STATE 15,C11,M,83,714.55,6.571652974
STATE 01,F6 ,M,83,708.92,6.563742685
STATE 04,C11,M,83,701.82,6.553676961
STATE 15,C6 ,M,83,688.67,6.534762201
STATE 15,C11,M,83,685.59,6.530279781
STATE 02,F6 ,M,83,640.86,6.462811024
STATE 15,C6 ,M,83,596,6.390240667
STATE 15,C6 ,M,83,565.39,6.337515759
STATE 15,C11,M,83,557.57,6.323588056
STATE 15,C6 ,M,83,549.96,6.309845548
STATE 06,C6 ,M,83,515,6.244166901
STATE 15,C11,M,83,505,6.224558429
STATE 04,C11,M,83,495.48,6.20552699
STATE 07,C6 ,F,83,461.84,6.135218511
STATE 02,C11,M,83,456.56,6.123720126
STATE 02,C11,F,83,447.66,6.104034016
STATE 04,C11,M,83,362.63,5.893383031
STATE 15,C1 ,M,83,359.41,5.884463798
STATE 15,F6 ,M,83,358.47,5.881844975
STATE 14,C6 ,M,83,358.46,5.881817078
STATE 02,C6 ,F,83,354.29,5.870115787
STATE 02,F11,M,83,354.27,5.870059334
STATE 15,C6 ,F,83,332.84,5.807661894
STATE 02,C1 ,M,83,331.59,5.803899266
STATE 15,C11,M,83,322.41,5.775824028
STATE 15,C6 ,M,83,264.6,5.578219252
STATE 17,C6 ,M,83,262.81,5.571431338
STATE 02,C1 ,F,83,250,5.521460918
STATE 02,C6 ,F,83,244.11,5.497618943
STATE 14,C1 ,F,83,226.41,5.422347515
STATE 15,C6 ,F,83,119.98,4.787325062
STATE 15,C6 ,F,83,53.7,3.983413002
STATE 15,C6 ,M,82,9619.48,9.171545488
STATE 02,F6 ,F,82,9377.82,9.146102606
STATE 06,C1 ,F,82,7487.11,8.920938154
STATE 15,C6 ,F,82,7444.98,8.915295259
STATE 06,C6 ,M,82,6621.64,8.798098352
STATE 15,C6 ,F,82,6460.23,8.7734202
STATE 15,C6 ,M,82,6282.92,8.74559012
STATE 03,C6 ,F,82,5871.55,8.677873932
STATE 15,C6 ,M,82,5792.79,8.66436932
STATE 04,F1 ,F,82,5748.28,8.656655959
STATE 02,C6 ,M,82,5540.07,8.619762415
STATE 04,C1 ,M,82,5390.83,8.592454641
STATE 02,C6 ,F,82,4318.67,8.370702763
STATE 15,C1B,M,82,4218.09,8.347137698
STATE 15,C1 ,F,82,4173.63,8.33654144
STATE 13,C11,M,82,4043.46,8.30485604
STATE 15,C6 ,M,82,3367.26,8.121854636
STATE 06,C6 ,M,82,3234.22,8.081543065
STATE 15,C11,M,82,3118.5,8.045107396
STATE 12,C6 ,F,82,3023,8.014004995
STATE 01,C6 ,M,82,2983.48,8.000845683
STATE 12,C6 ,F,82,2815.14,7.942767273
STATE 15,C11,M,82,2495.8,7.822364598
STATE 15,C6 ,F,82,2362.89,7.767640725
STATE 14,C11,F,82,2288,7.735433352
STATE 15,C11,F,82,2007.78,7.604784913
STATE 07,C6 ,F,82,1936.69,7.568735609
STATE 02,C6 ,M,82,1816.41,7.504617305
STATE 17,C6 ,F,82,1595.67,7.37504899
STATE 02,C11,F,82,1553.53,7.34828504
STATE 01,F6 ,M,82,1500,7.313220387
STATE 12,C6 ,M,82,1463.34,7.288476773
STATE 15,C1 ,F,82,1441.76,7.273619868
STATE 15,C11,M,82,1388.48,7.235964903
STATE 14,C6 ,M,82,1384.13,7.232827062
STATE 02,C6 ,F,82,1298.89,7.169265333
STATE 02,C11,F,82,1278.84,7.153708696
STATE 15,C11,M,82,1176.97,7.070698618
STATE 15,C6 ,M,82,1139.6,7.038432603
STATE 04,C11,F,82,1113.15,7.014949113
STATE 14,F1 ,M,82,1111.55,7.013510717
STATE 07,C11,M,82,1061.67,6.967598419
STATE 03,C6 ,M,82,1061.34,6.96728754
STATE 15,C6 ,F,82,1039.33,6.946331554
STATE 15,C11,M,82,1029,6.936342736
STATE 02,C11,M,82,1007.6,6.915326544
STATE 15,C6 ,M,82,1000,6.907755279
STATE 02,C6 ,F,82,958.34,6.865202621
STATE 02,C11,M,82,952.05,6.858617554
STATE 15,C11,M,82,921.93,6.826469299
STATE 04,C11,F,82,870.19,6.768711579
STATE 04,C6 ,F,82,821.81,6.711509225
STATE 15,C6 ,M,82,806.61,6.69284028
STATE 17,C6 ,F,82,761.19,6.634882998
STATE 15,C6 ,M,82,746.89,6.615917919
STATE 04,C11,M,82,733.99,6.598495405
STATE 15,C11,M,82,724.77,6.585854363
STATE 15,C11,F,82,713.42,6.570070307
STATE 10,C11,F,82,688.55,6.534587937
STATE 15,C6 ,F,82,688.3,6.534224789
STATE 04,C11,M,82,685.13,6.529608601
STATE 02,C6 ,M,82,644.87,6.469048746
STATE 03,C6 ,F,82,640.85,6.46279542
STATE 02,C6 ,F,82,638.2,6.458651714
STATE 15,C6 ,F,82,618.13,6.426698791
STATE 17,C11,M,82,595.65,6.389653246
STATE 04,F1 ,F,82,512.28,6.238871351
STATE 15,C1 ,F,82,507.31,6.229122257
STATE 06,C11,M,82,502.28,6.219157733
STATE 07,C11,F,82,489.86,6.194119636
STATE 15,C6 ,F,82,489.1,6.192566968
STATE 15,C6 ,F,82,485.66,6.185508791
STATE 15,F6 ,M,82,443.1,6.093795478
STATE 14,F6 ,M,82,420.14,6.040587989
STATE 15,C6 ,F,82,411.9,6.020780601
STATE 15,C6 ,F,82,293.75,5.682729065
STATE 17,C6 ,F,82,257.41,5.550670144
STATE 17,C6 ,F,82,248.86,5.516890489
STATE 03,C11,M,82,189.84,5.246181612
STATE 02,C6 ,F,82,188.61,5.239681391
STATE 06,C6 ,M,82,152.41,5.026574258
STATE 17,C11,M,82,150.01,5.010701959
STATE 02,C11,F,82,117.4,4.765586907
STATE 15,C1 ,M,82,68,4.219507705
STATE 04,C11,M,82,42.32,3.745259788
STATE 02,C1 ,M,81,12714.43,9.450492848
STATE 15,C6 ,M,81,10116.07,9.221880527
STATE 15,F6 ,M,81,9704.25,9.180319213
STATE 02,C1B,M,81,8523.02,9.050526017
STATE 06,C6 ,M,81,7063.08,8.862636496
STATE 17,C1 ,F,81,5881.62,8.679587513
STATE 04,C11,F,81,4962.54,8.509672985
STATE 11,C6 ,F,81,4635,8.441391478
STATE 15,C6 ,M,81,4516.61,8.415516991
STATE 17,C11,F,81,4387.11,8.386425975
STATE 06,C6 ,F,81,4288.59,8.363713287
STATE 15,C6 ,M,81,4098.25,8.318315332
STATE 15,C6 ,F,81,3334.19,8.11198505
STATE 15,C6 ,M,81,3076.32,8.031489356
STATE 15,C6 ,F,81,2866.99,7.961017978
STATE 07,C6 ,M,81,2786.21,7.932437528
STATE 06,C11,F,81,2679.55,7.893404149
STATE 15,C6 ,F,81,2591.51,7.859995996
STATE 15,C6 ,M,81,2500,7.824046011
STATE 15,C6 ,M,81,2440.38,7.799909044
STATE 15,C11,F,81,2425,7.793586803
STATE 15,C11,F,81,2330,7.753623547
STATE 15,C6 ,M,81,2266,7.725771442
STATE 06,C6 ,F,81,2203.94,7.698001947
STATE 15,C6 ,F,81,2186.7,7.690148837
STATE 17,C11,F,81,2144.46,7.670643051
STATE 15,C11,M,81,1972.9,7.587259821
STATE 04,C11,M,81,1949.14,7.575143529
STATE 17,C6 ,F,81,1887.98,7.543262753
STATE 15,C6 ,M,81,1852.5,7.524291357
STATE 15,C6 ,M,81,1834.35,7.514445474
STATE 06,C1B,M,81,1765.83,7.476376114
STATE 15,C6 ,M,81,1722.82,7.451717762
STATE 15,C6 ,M,81,1705,7.44132039
STATE 03,C11,M,81,1699.52,7.438101137
STATE 15,C6 ,F,81,1595.28,7.374804548
STATE 15,C6 ,M,81,1539.07,7.338933617
STATE 17,C6 ,M,81,1494.41,7.309486759
STATE 10,C1 ,M,81,1476.43,7.297382291
STATE 02,C6 ,F,81,1465.95,7.290258775
STATE 15,C6 ,F,81,1460.96,7.286849033
STATE 15,C6 ,F,81,1460.2,7.286328692
STATE 15,C11,M,81,1458.13,7.284910072
STATE 04,C11,M,81,1371.66,7.223776964
STATE 02,C11,M,81,1370.45,7.222894432
STATE 04,C11,F,81,1349.86,7.207756162
STATE 04,C11,M,81,1327.24,7.190856877
STATE 15,C6 ,F,81,1256.02,7.13570327
STATE 07,C6 ,F,81,1253.41,7.133623116
STATE 15,C6 ,M,81,1216.32,7.103585186
STATE 01,C6 ,M,81,1172.96,7.067285747
STATE 15,F6 ,M,81,1119.52,7.020655301
STATE 04,C11,F,81,1115.91,7.017425495
STATE 12,C6 ,M,81,1077.66,6.982547303
STATE 02,C6 ,M,81,1072.24,6.977505197
STATE 02,C11,M,81,1064.77,6.970514092
STATE 02,C1 ,M,81,1051.47,6.957944464
STATE 03,C11,M,81,1025.02,6.932467404
STATE 02,C6 ,F,81,1018.5,6.926086236
STATE 15,C11,M,81,990.07,6.897775648
STATE 01,F11,M,81,988.75,6.896441519
STATE 15,C11,M,81,987.73,6.895409381
STATE 10,C6 ,F,81,987,6.894670039
STATE 15,C11,F,81,966.85,6.874043364
STATE 15,C6 ,F,81,961.55,6.868546566
STATE 03,C6 ,M,81,924.61,6.829372027
STATE 06,C11,F,81,904.84,6.807758132
STATE 15,C6 ,F,81,887.04,6.787890077
STATE 03,F6 ,M,81,856.26,6.752574068
STATE 01,C11,M,81,853.88,6.749790669
STATE 15,C6 ,F,81,822.2,6.711983674
STATE 15,C1 ,M,81,782.44,6.662417242
STATE 02,C11,F,81,729.32,6.592112593
STATE 15,C6 ,F,81,706.22,6.559926804
STATE 15,C1 ,F,81,700,6.551080335
STATE 04,C11,M,81,699.49,6.550351498
STATE 17,F6 ,F,81,677.76,6.518793243
STATE 14,C1 ,M,81,646.17,6.471062627
STATE 02,C11,M,81,629.84,6.445465819
STATE 15,C11,F,81,604.75,6.404815149
STATE 02,C11,M,81,601.23,6.398977557
STATE 15,C11,F,81,596.32,6.390777436
STATE 04,C6 ,F,81,563.78,6.334664104
